"","Day","S","E","I","R"
"180",180,74984.4380854449,603.991591343904,605649.008867743,-581237.438544532
"181",181,74585.8683382816,604.597934003037,606164.233690113,-581354.699962397
"182",182,69535.7297465531,605.18176767815,607723.659322106,-577864.570836337
"183",183,71508.4998251742,605.74301168578,610569.211519978,-582683.454356838
"184",184,80701.2750503334,606.281588731558,609407.895202253,-590715.451841318
"185",185,88733.3271023928,606.797424933614,609041.32693719,-598381.451464516
"186",186,81841.479044888,607.290449844885,608124.041327604,-590572.810822337
"187",187,86291.3779849402,607.760596474321,607360.201319851,-594259.339901266
"188",188,89681.9828521535,608.207801306966,609064.78387198,-599354.97452544
"189",189,73320.7804917784,608.632004322913,612330.177701129,-586259.59019723
"190",190,83476.0511765213,609.033149015118,611984.192964944,-596069.27729048
"191",191,94993.8055175723,609.411182406066,611816.60548355,-607419.822183528
"192",192,95023.8251350051,609.766055063278,614149.486380483,-609783.077570551
"193",193,84775.8756402107,610.097721113654,611515.783651974,-596901.757013298
"194",194,83098.2856393365,610.406138256642,611746.872692138,-595455.564469731
"195",195,83123.5989220864,610.691267776225,611370.400062762,-595104.690252625
"196",196,79267.3375029812,610.953074551727,611558.759401869,-591437.049979402
"197",197,82688.6899838495,611.191527067423,610653.420260036,-593953.301770953
"198",198,85747.7824190642,611.406597420953,610104.165463564,-596463.354480049
"199",199,83156.3568550269,611.598261330542,611178.645858079,-594946.600974437
"200",200,85702.8080848009,611.766498141008,611200.703004295,-597515.277587237
"201",201,76541.581875707,611.911290828568,609536.74250771,-586690.235674246
"202",202,82912.2967462207,612.032626004438,612161.087706871,-595685.417079097
"203",203,95839.3837135295,612.130493917221,612428.36420043,-608879.878407877
"204",204,104248.017678612,612.204888454085,613614.287711714,-618474.51027878
"205",205,92329.0587182865,612.255807140731,614252.223535623,-607193.53806105
"206",206,86640.5900900044,612.283251140154,613054.244948662,-600307.118289807
"207",207,76997.5456858238,612.287225250198,613594.95056115,-591204.783472223
"208",208,87954.3716657743,612.2677378999,613706.880357561,-602273.519761235
"209",209,95349.6118288744,612.224801144635,615221.313334717,-611183.149964736
"210",210,95697.271391146,612.158430660067,614388.837050667,-610698.266872473
"211",211,85401.0349483066,612.068645734896,614925.724746887,-600938.828340929
"212",212,80665.8664830361,611.955469262426,612314.052555105,-593591.874507404
"213",213,79439.6241206826,611.818927730938,612694.903165539,-592746.346213953
"214",214,64037.0385459336,611.659051212897,613910.210571746,-578558.908168892
"215",215,82500.7199872218,611.475873352981,615539.535793314,-598651.731653889
"216",216,81700.1519039405,611.269431354946,614992.135663234,-597303.55699853
"217",217,71974.9789014201,611.039765967345,612867.861994609,-585453.880661997
"218",218,74264.9487134516,610.786921468092,610387.352687432,-585263.088322352
"219",219,65754.4379938234,610.510945647893,613023.445889214,-579388.394828685
"220",220,72181.9981724139,610.211889792555,612902.256882963,-585694.46694517
"221",221,84134.3959052434,609.889808664171,611081.302362619,-595825.588076526
"222",222,71494.4626164057,609.544760481211,612586.010931914,-584690.018308801
"223",223,61452.926242894,609.176806897513,612909.732486762,-574971.835536554
"224",224,77524.0702567248,608.786012980199,611199.200306417,-589332.056576122
"225",225,83529.674635671,608.372447186523,609830.766766672,-593968.813849529
"226",226,105670.098559233,607.93618133967,609749.568808321,-616027.603548894
"227",227,108198.098620067,607.47729060351,609065.272486168,-617870.848396839
"228",228,86684.7569578815,606.995853456334,608753.894312478,-596045.647123816
"229",229,83864.8884328833,606.491951663582,608284.35101876,-592755.731403307
"230",230,94900.8067935874,605.965670249572,608548.641962732,-604055.414426569
"231",231,72207.2240447719,605.417097468263,607110.868774288,-579923.509916528
"232",232,68385.4927560427,604.84632477305,604944.663089992,-573935.002170808
"233",233,66764.0992215116,604.253446785622,605705.686007993,-573074.038676291
"234",234,76669.0191988579,603.638561263891,605389.321436388,-582661.97919651
"235",235,87743.7291642564,603.001769069023,604144.70433329,-592491.435266615
"236",236,89311.0210101247,602.343174131572,602445.6116999,-592358.975884156
"237",237,85450.180061327,601.662883416751,604000.397146947,-590052.240091691
"238",238,88498.5798047561,600.961006888853,603241.310018866,-592340.850830511
"239",239,86915.0886119105,600.237657474838,602016.437041244,-589531.763310629
"240",240,87354.1305877095,599.492951027123,602140.82527827,-590094.448817006
"241",241,103804.572804695,598.727006285565,599453.533016816,-603856.832827797
"242",242,89592.1938430474,597.939944838691,600107.773937891,-590297.907725777
"243",243,97406.7012215002,597.131891084172,598733.485384626,-596737.318497211
"244",244,86465.0942995981,596.30297218858,595952.297598526,-583013.694870312
"245",245,65082.4948465456,595.453318046429,595353.391938202,-561031.340102794
"246",246,85348.434922988,594.583061238542,596543.2486001,-582486.266584327
"247",247,79707.2987331004,593.692336989759,595468.07497097,-575769.06604106
"248",248,74742.0619193387,592.781283126003,593589.743885359,-568924.587087824
"249",249,74825.1106254688,591.85004003073,593603.385238571,-569020.345904071
"250",250,101851.849356931,590.898750600794,591717.288698721,-594160.036806253
"251",251,106601.338695039,589.927560201732,593512.794558497,-600704.060813737
"252",252,106653.661569643,588.936616622515,590865.557224734,-598108.155411
"253",253,106039.528130303,587.926070029762,590922.905023831,-597550.359224163
"254",254,111869.167280418,586.896072921468,591085.969074498,-603542.032427838
"255",255,112067.421377607,585.846780080245,587819.843852669,-600473.112010356
"256",256,106294.984339411,584.778348526116,586935.94801378,-593815.710701717
"257",257,103706.431861671,583.690937468879,585790.711608224,-590080.834407364
"258",258,85957.8010159371,582.584708260061,583345.492120807,-569885.877845004
"259",259,81517.8185130876,581.459824344498,584130.529693576,-566229.808031008
"260",260,98729.6718399202,580.316451211548,581231.586333413,-580541.574624545
"261",261,83664.3625949179,579.154756345977,579648.937398781,-563892.454750045
"262",262,98553.0354557784,577.974909178528,579684.666422524,-578815.676787481
"263",263,84748.8226324779,576.77708103621,579024.084298169,-564349.684011683
"264",264,66890.8000147937,575.561445092311,575551.060875388,-543017.422335274
"265",265,93420.9426757265,574.328176316184,573312.395879296,-567307.666731339
"266",266,93062.9018343512,573.077451422812,574379.150002488,-568015.129288262
"267",267,92117.1675578689,571.809448822173,573546.382243994,-566235.359250685
"268",268,69852.6991115844,570.524348568441,570648.853988632,-541072.077448784
"269",269,74235.2943014175,569.222332309042,570732.304979208,-545536.821612934
"270",270,64982.8495374372,567.90358323358,568884.444266975,-534435.197387645
"271",271,73710.0020415295,566.568286022661,565868.14611297,-540144.716440523
"272",272,80961.305637854,565.216626796648,565044.8130045,-546571.33526915
"273",273,51950.0102831205,563.848793064346,564105.038437044,-516618.897513229
"274",274,54818.991495684,562.464973671664,561948.267338267,-517329.723807622
"275",275,66683.1546135998,561.065358750255,560990.834108726,-528235.054081076
"276",276,78354.2072775941,559.650139666179,560340.819247846,-539254.676665106
"277",277,73995.1211180568,558.219508968583,559355.346128489,-533908.686755514
"278",278,71225.3398752393,556.773660338439,557919.326678459,-529701.440214037
"279",279,81908.2426478441,555.312788537363,554752.942147706,-537216.497584087
"280",280,93291.0479884717,553.837089356514,553146.277909298,-546991.162987127
"281",281,87340.111240551,552.346759565623,550918.574000299,-538811.032000415
"282",282,76281.7158656384,550.841996862143,550214.004898338,-527046.562760839
"283",283,76023.1858049388,549.322999820567,547954.053490437,-524526.562295196
"284",284,93664.8300587356,547.78996784191,545998.621941784,-540211.241968362
"285",285,98678.7283575181,546.243101103394,546208.250995368,-545433.222453989
"286",286,78446.5101334249,544.682600508337,544914.215012379,-523905.407746312
"287",287,69047.2923543849,543.10866763628,542538.219118148,-512128.620140169
"288",288,77806.7393372051,541.521504693364,541026.60182588,-519374.862667778
"289",289,78769.2230262242,539.92131446297,539815.607644885,-519124.751985572
"290",290,96669.941130892,538.308300256648,539393.355796191,-536601.60522734
"291",291,83988.0385427816,536.682665865346,538098.959104588,-522623.680313235
"292",292,80719.3952061944,535.044615510963,534790.942732197,-516045.382553903
"293",293,60178.8058771269,533.394353798232,532253.419949689,-492965.620180614
"294",294,59726.7405673687,531.732085666957,530200.032036432,-490458.504689467
"295",295,57502.1011261148,530.058016344621,531224.449996347,-489256.609138807
"296",296,56709.68801857,528.37235129937,530203.30307256,-487441.363442429
"297",297,54312.6415495328,526.675296193403,528576.147698606,-483415.464544332
"298",298,62408.4503185792,524.967056836762,527600.343353357,-490533.760728773
"299",299,56093.5335465577,523.247839141565,525977.414032849,-482594.195418548
"300",300,64867.2982030032,521.51784907666,523133.018937825,-488521.834989905
"301",301,68346.7895699862,519.777292622748,520894.075519072,-489760.642381681
"302",302,90124.7259710823,518.026375727964,518008.616189115,-508651.368535925
"303",303,68004.0330754603,516.265304263934,516910.459484648,-485430.757864372
"304",304,83184.3338832638,514.494283982329,515779.328480307,-499478.156647553
"305",305,77805.0365154481,512.713520471919,515908.152091719,-494225.902127639
"306",306,83522.3765856107,510.923219116132,515110.505611986,-499143.805416713
